text_response,anxiety_label,anxiety_code,heart_rate,sleep_hours,study_hours_per_day,days_since_last_break,social_interactions_per_week,water_intake_liters,exercise_minutes_per_day
The thought of the exam fills me with dread and terror,High,2,99.3,4.8,9.1,8,1,1.2,5
I have not been able to sleep for days because of exam fear,High,2,109.6,6.0,9.2,11,0,1.5,1
I sleep well and feel mentally prepared,Low,0,69.7,7.8,3.9,1,7,2.5,58
I feel moderate pressure from family expectations about results,Moderate,1,82.2,6.7,8.6,2,5,2.2,19
I am confident in my preparation and feel steady,Low,0,72.2,7.2,7.1,2,5,2.7,34
I experience panic attacks when I think about exams,High,2,86.4,4.7,7.7,14,0,1.4,7
My preparation is going smoothly without much stress,Low,0,72.0,7.9,5.1,1,6,2.5,44
I cannot stop worrying about failing the exam at all,High,2,107.1,5.1,9.6,12,2,1.3,5
My appetite has slightly reduced during exam preparation,Moderate,1,76.6,6.3,6.8,2,2,2.1,13
I experience panic attacks when I think about exams,High,2,91.1,4.4,9.6,9,0,1.3,10
I am constantly trembling and cannot eat or sleep properly,High,2,89.1,4.5,5.8,9,0,1.5,7
I sleep well and feel mentally prepared,Low,0,72.1,8.2,4.7,2,9,3.3,20
I enjoy studying and feel ready for assessments,Low,0,67.6,7.6,5.1,0,6,2.2,50
My heart races and I feel nauseous when exam date approaches,High,2,100.0,5.7,12.4,13,2,1.1,2
No major worries just some normal exam jitters,Low,0,75.2,8.2,5.2,2,9,2.7,34
I feel a little nervous but it motivates me positively,Low,0,75.6,6.9,4.5,2,10,2.6,21
My appetite has slightly reduced during exam preparation,Moderate,1,86.7,5.2,8.0,5,2,1.8,9
I get anxious during revision but calm down after some time,Moderate,1,84.9,5.8,6.9,4,5,1.6,23
I have not been able to sleep for days because of exam fear,High,2,99.4,4.6,8.1,7,2,1.2,5
I sometimes procrastinate due to exam pressure and worry,Moderate,1,88.2,5.1,7.1,2,5,2.4,5
I sleep well and feel mentally prepared,Low,0,78.1,7.8,4.8,0,6,2.2,37
I feel overwhelmed when I look at the entire syllabus,Moderate,1,82.2,6.6,6.6,3,5,1.3,15
My appetite has slightly reduced during exam preparation,Moderate,1,84.5,6.7,7.1,4,3,1.8,14
